,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
82,928,Henderson,2010,4651,Henderson County Dog Pound,Oquawka,61469,Animal Control,0,0,0,0,0,0,88,42,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,42,46,0,930,Henderson,2013,Henderson County Dog Pound,Oquawka,61469,Animal Control,0,0,0,0,0,0,82,27,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,82,27,50,5
83,936,Henry,2010,5196,Geneseo Police Department,Geneseo,61254,Animal Control,0,0,0,0,0,0,36,6,30,0,0,0,26,21,5,0,0,0,0,0,0,0,0,62,27,35,0,952,Henry,2013,Geneseo Police Department,Geneseo,61254,Animal Control,0,0,0,0,0,0,37,5,32,0,0,0,12,3,9,0,0,0,0,0,0,0,0,49,8,41,0
84,940,Henry,2010,12142,Henry CO Humane Society Geneseo Chapter,Genoseo,61254,Animal Shelter,0,0,0,0,0,0,45,44,0,1,0,0,286,304,0,8,0,0,0,0,0,0,0,331,348,0,9,960,Henry,2013,Henry Co. Humane Society Geneseo Chapter,Geneseo,61254,0,0,0,0,0,0,4,32,36,0,2,3,74,119,183,0,3,68,0,0,0,0,0,0,151,219,0,5
85,942,Henry,2010,6355,Henry CO Humane Society Kewanee Chapter,Kewanee,61443,Animal Shelter,0,0,0,0,0,0,90,115,0,5,0,0,61,90,0,15,0,0,0,0,0,0,0,151,205,0,20,961,Henry,2013,Henry Co. Humane Society Kewanee Chapter,Kewanee,61443,Animal Shelter,0,0,0,0,0,8,80,69,0,1,18,125,105,100,0,20,110,0,0,0,0,0,0,185,169,0,21
86,946,Henry,2010,5008,Henry County Animal Shelter,Cambridge,61238,Animal Control,0,0,0,0,0,0,119,45,70,4,0,0,23,19,0,4,0,0,0,0,0,11,0,142,64,70,19,950,Henry,2013,Henry County Animal Shelter,Cambridge,61238,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,948,Henry,2010,4988,Kewanee Animal Control Facility,Kewanee,61443,Animal Control,0,0,0,0,0,0,245,80,114,46,0,0,245,72,4,190,0,0,2,2,0,0,0,492,154,118,236,951,Henry,2013,Kewanee Animal Control Facility,Kewanee,61443,Animal Control,0,0,0,0,0,0,159,59,86,14,0,0,176,76,0,100,0,0,0,0,0,0,0,335,135,86,114
88,964,Iroquois,2010,13793,Iroquois County Animal Rescue NFP,Iroquois,60945,Animal Shelter,0,0,176,40,0,0,0,0,0,0,0,0,304,216,2,4,0,0,0,0,0,0,0,304,216,2,4,978,Iroquois,2013,"Iroquois County Animal Rescue, NFP",Iroquois,60945,Animal Shelter,0,0,98,60,0,0,0,0,0,0,0,90,88,158,8,2,10,0,0,0,0,0,0,88,158,8,2
89,969,Iroquois,2010,5477,Village of Onarga,Onarga,60955,Animal Control,0,0,0,0,0,0,5,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,7,975,Iroquois,2013,Village of Onarga,Onarga,60955,Animal Control,0,0,0,0,0,0,11,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,3
90,972,Iroquois,2010,7293,Wildwood Kennel,Watseka,60970,Animal Control,0,0,0,0,0,0,157,53,33,71,0,0,5,0,0,5,0,0,0,0,0,0,0,162,53,33,76,974,Iroquois,2013,Wildwood Kennel,Watseka,60970,0,0,0,0,0,0,6,54,23,6,25,0,0,0,0,0,0,0,0,0,0,0,0,0,54,23,6,25
91,980,Jackson,2010,204,Humane Society of Southern Illinois,Carbondale,62903,Animal Shelter,0,0,0,0,0,0,1159,126,189,550,0,0,1418,99,22,1029,0,0,150,15,0,85,0,2727,240,211,1664,995,Jackson,2013,Humane Society of Southern Illinois,Carbondale,62903,Animal Shelter,0,0,0,0,0,27,876,321,196,352,35,35,1332,115,27,1053,31,0,123,6,0,80,1,2331,442,223,1485
92,983,Jackson,2010,13839,Midwest Animal Rescue Service,Murphysboro,62966,Animal Shelter,2,57,0,3,0,0,59,59,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,62,62,0,0,996,Jackson,2013,Midwest Animal Rescue Service,Murphysboro,62966,Animal Shelter,3,56,1,2,0,7,73,59,0,2,19,7,5,3,0,0,10,0,0,0,0,0,0,78,62,0,2
93,986,Jackson,2010,12038,St. Francis Care,Murphysboro,62966,Animal Shelter,0,0,0,0,0,0,413,340,4,10,0,0,79,67,0,1,0,0,0,0,0,0,0,492,407,4,11,997,Jackson,2013,St. Francis Care,Murphysboro,62966,Animal Shelter,0,0,0,0,0,54,541,447,10,80,58,18,194,164,8,14,26,0,0,0,0,0,0,735,611,18,94
