,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
39,590,Crawford,2010,14047,Crawford County Spay & Neuter Foundation,Robinson,62454,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,76,31,0,9,0,0,0,0,0,0,0,76,31,0,9,591,Crawford,2011,Crawford County Spay & Neuter Foundation,Robinson,62454,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,382,158,168,56,2,0,0,0,0,0,0,382,158,168,56
40,602,Cumberland,2010,6512,Cumberland County Pound,Toledo,62468,Animal Shelter,0,0,0,0,0,0,67,60,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,67,60,10,7,601,Cumberland,2011,Cumberland County Pound,Toledo,62468,Animal Control,0,0,0,0,0,0,79,47,19,11,2,0,0,0,0,0,0,0,0,0,0,0,0,79,47,19,11
41,605,Cumberland,2010,8443,Neoga Animal Shelter,Neoga,62447,Animal Control,0,0,0,0,0,0,5,0,1,0,0,0,13,0,0,13,0,0,0,0,0,0,0,18,0,1,13,604,Cumberland,2011,Neoga Animal Shelter,Neoga,62447,Animal Control,0,0,0,0,0,0,11,5,6,0,0,0,22,0,0,22,0,0,2,0,0,2,0,35,5,6,24
42,613,Dekalb,2010,11842,Dalmatian Rescue of Illinois,Dekalb,60115,Animal Shelter,0,0,0,0,0,0,36,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36,28,0,3,614,Dekalb,2011,Dalmatian Rescue of Illinois,Dekalb,60115,Animal Shelter,0,0,0,0,0,4,29,29,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,29,29,0,0
43,617,Dekalb,2010,3343,Dekalb County Animal Shelter,Genoa,60135-7612,Animal Shelter,0,0,0,0,0,0,246,222,38,5,0,0,160,159,15,13,0,0,2,2,0,0,0,408,383,53,18,618,Dekalb,2011,Dekalb County Animal Shelter,Genoa,60135-7612,Animal Shelter,0,0,0,0,0,20,207,165,19,18,25,45,181,98,10,28,93,0,2,2,0,0,0,390,265,29,46
44,623,Dekalb,2010,9944,Recycling Animals In Need (R.A.I.N.),Hinckley,60520-0810,Animal Shelter,0,0,0,0,0,0,18,17,0,0,0,0,26,20,0,0,0,0,0,0,0,0,0,44,37,0,0,624,Dekalb,2011,Recycling Animals In Need (R.A.I.N.),Hinckley,60520-0810,Animal Shelter,0,0,0,0,0,4,4,3,0,0,1,9,9,7,0,0,2,0,0,0,0,0,0,13,10,0,0
45,626,Dekalb,2010,10584,Tails Humane Society,Dekalb,60115,Animal Shelter,0,0,0,0,0,0,1004,867,34,68,0,0,1068,881,36,167,0,0,188,126,1,9,0,2260,1874,71,244,627,Dekalb,2011,Tails Humane Society,Dekalb,60115,Animal Shelter,565,505,467,519,143,136,1304,1070,43,81,192,193,1080,986,25,117,125,31,129,143,0,5,7,2513,2199,68,203
46,644,Dewitt,2010,1395,Dewitt County Animal Control,Clinton,61727,Animal Control,0,0,0,0,0,0,142,66,63,8,0,0,155,45,0,20,0,0,0,0,0,0,0,297,111,63,28,645,Dewitt,2011,Dewitt County Animal Control,Clinton,61727-9247,Animal Control,0,0,0,0,0,3,118,41,41,11,8,23,111,75,0,32,14,1,1,1,0,0,0,230,117,41,43
47,647,Dewitt,2010,13301,"Second Chance Pet Adoptions, Inc.",Clinton,61727,Animal Shelter,0,0,0,0,0,0,0,72,0,2,0,0,0,41,0,0,0,0,0,0,0,0,0,0,113,0,2,648,Dewitt,2011,"Second Chance Pet Adoptions, Inc.",Clinton,61727,Animal Shelter,0,0,0,0,0,0,90,74,0,1,15,0,49,33,0,0,16,0,2,2,0,0,0,141,109,0,1
48,654,Douglas,2010,9011,City of Arcola,Arcola,61910-0215,Animal Control,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,655,Douglas,2011,City of Arcola,Arcola,61910-0215,Animal Control,0,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
