,index1_x,County_x,Year_x,ShelterID,BusName_x,City_x,Zip_x,License Type_x,DogSold_x,PupSold_x,CatSold_x,KitSold_x,ExoticSold_x,BegInvDog_x,DogRec_x,DogAdopt_x,DogReclaim_x,DogEuth_x,EndInvDogs_x,BegInvCat_x,CatRec_x,CatsAdopt_x,CatsReclaim_x,CatEuth_x,EndInvCats_x,BegInvOther_x,OtherRec_x,OtherAdopt_x,OtherReclaim_x,OtherEuth_x,EndInvOther_x,AllRec_x,AllAdopt_x,AllReclaim_x,AllEuth_x,index1_y,County_y,Year_y,BusName_y,City_y,Zip_y,License Type_y,DogSold_y,PupSold_y,CatSold_y,KitSold_y,ExoticSold_y,BegInvDog_y,DogRec_y,DogAdopt_y,DogReclaim_y,DogEuth_y,EndInvDogs_y,BegInvCat_y,CatRec_y,CatsAdopt_y,CatsReclaim_y,CatEuth_y,EndInvCats_y,BegInvOther_y,OtherRec_y,OtherAdopt_y,OtherReclaim_y,OtherEuth_y,EndInvOther_y,AllRec_y,AllAdopt_y,AllReclaim_y,AllEuth_y
134,1455,Macon,2010,13788,Illinois English Bulldog Rescue,Decatur,62526,Animal Shelter,0,0,0,0,0,0,90,80,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,90,80,0,2,1454,Macon,2012,Illinois English Bulldog Rescue,Decatur,62526,Animal Shelter,72,4,0,0,0,0,98,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,72,0,1
135,1458,Macon,2010,7978,Love at First Sight,Forsyth,62535,Animal Shelter,0,0,0,0,0,0,417,399,0,0,0,0,224,223,0,0,0,0,0,0,0,0,0,641,622,0,0,1457,Macon,2012,Love at First Sight,Forsyth,62535,Animal Shelter,0,0,0,0,0,2,314,309,1,4,2,3,145,143,0,5,0,0,0,0,0,0,0,459,452,1,9
136,1461,Macon,2010,4811,Macon County Animal Control & Care Ctr,Decatur,62526,Animal Control,0,0,0,0,0,0,1396,332,324,723,0,0,1640,233,26,1195,0,0,384,5,1,368,0,3420,570,351,2286,1460,Macon,2012,Macon County Animal Control & Care Ctr,Decatur,62526,Animal Control,0,0,0,0,0,94,1220,463,459,513,79,144,1092,517,22,556,141,0,224,35,0,183,6,2536,1015,481,1252
137,1464,Macon,2010,12676,Pet Tracks,Decatur,62526,Animal Shelter,0,0,4,0,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,6,4,0,1,1463,Macon,2012,Pet Tracks,Decatur,62526,Animal Shelter,0,0,1,0,0,0,0,0,0,0,0,28,21,1,0,0,48,0,0,0,0,0,0,21,1,0,0
138,1467,Macon,2010,7909,Prairieland Animal Welfare,Decator ,62521,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,6,0,0,1466,Macon,2012,Prairieland Animal Welfare,Decator ,62521,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,4,0,0,1
139,1470,Macon,2010,8535,Victorian House Animal Placements,Maroa,61756,Animal Shelter,0,0,0,0,0,0,0,1,0,0,0,0,2,12,0,2,0,0,0,0,0,0,0,2,13,0,2,1469,Macon,2012,Victorian House Animal Placements,Maroa,61756,Animal Shelter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,1487,Macoupin,2010,13833,Feathered Nest,Brighton,62012,Animal Shelter,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,1486,Macoupin,2012,Feathered Nest,Brighton,62012,Animal Shelter,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,15,0,54,0,1
141,1490,Macoupin,2010,6098,Macoupin County Adopt-A-Pet,Benld,62009,Animal Shelter,0,0,0,0,0,0,327,358,7,1,0,0,195,189,0,0,0,0,0,0,0,0,0,522,547,7,1,1489,Macoupin,2012,Macoupin County Adopt-A-Pet,Benld,62009,Animal Shelter,200,170,55,95,0,47,391,370,5,0,63,34,161,150,1,0,44,0,0,0,0,0,0,552,520,6,0
142,1493,Macoupin,2010,4869,Macoupin County Animal Control,Carlinville,62626,Animal Control,0,0,0,0,0,0,782,239,287,256,0,0,462,132,110,220,0,0,15,15,0,0,0,1259,386,397,476,1494,Macoupin,2012,Macoupin County Animal Control,Carlinville,62626,Animal Control,0,0,0,0,0,41,411,226,147,10,28,32,273,158,47,40,28,0,6,0,6,0,0,690,384,200,50
143,1507,Madison,2010,5747,Alton Animal Control Center,Alton,62002,Animal Control,0,0,0,0,0,0,401,45,78,278,0,0,389,14,3,372,0,0,242,4,0,238,0,1032,63,81,888,1505,Madison,2012,Alton Animal Control Center,Alton,62002,Animal Control,0,0,0,0,0,0,308,39,43,226,0,0,329,6,3,320,4,0,181,0,0,181,0,818,45,46,727
144,1510,Madison,2010,2792,Alton Area Animal Aid Association,Godfrey,62035,Animal Shelter,0,0,0,0,0,0,228,300,6,3,0,0,157,169,3,5,0,0,0,0,0,0,0,385,469,9,8,1509,Madison,2012,Alton Area Animal Aid Association,Godfrey,62035,Animal Shelter,231,12,80,37,0,56,248,243,17,5,39,33,119,117,0,4,31,0,0,0,0,0,0,367,360,17,9
145,1515,Madison,2010,13934,Come Bye Border Collie Rescue,Highland  ,62249,Animal Shelter,0,0,0,0,0,0,22,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,0,3,1514,Madison,2012,Come Bye Border Collie Rescue,Highland  ,62249,Animal Shelter,0,0,0,0,0,14,38,41,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,38,41,0,0
146,1518,Madison,2010,13730,Dachshund Rescue of St. Louis,Highland,62249,Animal Shelter,0,0,0,0,0,0,35,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,1,1517,Madison,2012,Dachshund Rescue of St. Louis,Highland,62249,Animal Shelter,0,0,0,0,0,5,50,50,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0
147,1521,Madison,2010,8699,East Alton Animal Control,East Alton,62024,Animal Control,0,0,0,0,0,0,70,0,40,30,0,0,134,0,14,120,0,0,0,0,0,0,1,204,0,54,150,1520,Madison,2012,East Alton Animal Control,East Alton,62024,Animal Control,0,0,0,0,0,0,85,0,75,10,0,0,122,0,22,120,0,0,0,0,0,0,0,207,0,97,130
148,1527,Madison,2010,1909,Granite City Humane Shelter,Granite City,62040,Animal Control,0,0,0,0,0,0,623,20,150,458,0,0,559,5,10,544,0,0,0,0,0,0,0,1182,25,160,1002,1526,Madison,2012,Granite City Humane Shelter,Granite City,62040,Animal Control,0,0,0,0,0,597,597,30,100,467,467,612,612,5,15,592,592,0,0,0,0,0,0,1209,35,115,1059
149,1530,Madison,2010,6418,Highland Animal Shelter,Highland,62249,Animal Shelter,0,0,0,0,0,0,170,65,66,0,0,0,246,207,7,0,0,0,0,0,0,0,0,416,272,73,0,1529,Madison,2012,Highland Animal Shelter,Highland,62249,Animal Shelter,0,0,0,0,0,29,34,41,0,4,18,70,143,137,1,5,70,0,0,0,0,0,0,177,178,1,9
150,1534,Madison,2010,299,Madison County Rabies Control,Edwardsville,62025,Animal Control,0,0,0,0,0,0,1698,352,332,971,0,0,2432,243,36,2122,0,0,0,0,0,0,0,4130,595,368,3093,1533,Madison,2012,Madison County Rabies Control,Edwardsville,62025,Animal Control,0,0,0,0,0,0,1423,416,301,663,0,0,1913,258,21,1595,0,0,0,0,0,0,0,3336,674,322,2258
151,1537,Madison,2010,6613,Metro East Humane Society,Edwardsville,62025,Animal Shelter,0,0,0,0,0,0,602,516,0,63,0,0,487,368,0,86,0,0,0,0,0,0,0,1089,884,0,149,1536,Madison,2012,Metro East Humane Society,Edwardsville,62025,Animal Shelter,395,104,140,157,0,23,499,452,0,54,16,54,243,297,0,28,28,0,1,0,0,1,0,743,749,0,83
152,1540,Madison,2010,8361,Nameoki,Granite City,62040,Animal Control,0,0,0,0,0,0,13,0,0,0,0,0,20,0,0,0,0,0,19,0,0,0,0,52,0,0,0,1539,Madison,2012,Nameoki,Granite City,62040,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,1543,Madison,2010,10989,Partners For Pets Humane Society,St. Jacob,62281,Animal Shelter,0,0,0,0,0,0,736,661,0,10,0,0,316,441,0,10,0,0,0,0,0,0,0,1052,1102,0,20,1542,Madison,2012,Partners For Pets Humane Society,St. Jacob,62281,Animal Shelter,0,0,0,0,0,70,708,708,2,5,70,60,340,325,0,3,75,0,0,0,0,0,0,1048,1033,2,8
154,1548,Madison,2010,3923,Warren Billhartz Animal Shelter,Collinsville,62234,0,0,0,0,0,0,0,304,19,122,59,0,0,365,9,16,161,0,0,146,0,3,42,0,815,28,141,262,1547,Madison,2012,Warren Billhartz Animal Shelter,Collinsville,62234,0,0,0,0,0,0,5,284,45,125,51,9,17,201,82,7,30,10,0,3,1,2,0,0,488,128,134,81
155,1585,Marion,2010,310,City of Centralia,Centralia,62801,0,0,0,0,0,0,0,766,24,168,163,0,0,228,7,9,32,0,0,0,0,0,0,0,994,31,177,195,1584,Marion,2012,City of Centralia,Centralia,62801,0,0,0,0,0,0,0,616,27,110,73,0,0,255,8,1,13,0,0,0,0,0,0,0,871,35,111,86
156,1592,Marshall,2010,10171,"Animal Recycling Kennel H.S., LTD",Lacon,61540,Animal Shelter,140,71,14,49,2,0,215,211,4,11,0,0,63,63,0,24,0,0,2,2,0,0,0,280,276,4,35,1591,Marshall,2012,"(Missing) Animal Recycling Kennel H.S., LTD",Lacon,61540,Animal Shelter,140,71,14,49,2,0,215,211,4,11,0,0,63,63,0,24,0,0,2,2,0,0,0,280,276,4,35
157,1596,Marshall,2010,2440,Marshall County Dog Pound,Lacon,61540,Animal Control,0,0,0,0,0,0,240,30,190,20,0,0,0,0,0,0,0,0,0,0,0,0,0,240,30,190,20,1594,Marshall,2012,Marshall County Dog Pound,Lacon,61540,Animal Control,0,0,0,0,0,0,145,25,98,22,0,0,0,0,0,0,0,0,0,0,0,0,0,145,25,98,22
158,1602,Mason,2010,5760,City of Havana,Havana,62644,Animal Control,0,0,0,0,0,0,53,2,28,23,0,0,81,0,60,21,0,0,0,0,0,0,0,134,2,88,44,1601,Mason,2012,City of Havana,Havana,62644,Animal Control,0,0,0,0,0,0,10,1,1,1,7,0,49,0,4,17,28,0,0,0,0,0,0,59,1,5,18
159,1605,Mason,2010,11651,Pets Without Parents,Easton,62633,Animal Shelter,0,0,0,0,0,0,189,89,37,43,0,0,179,53,8,95,0,0,0,0,0,0,0,368,142,45,138,1604,Mason,2012,Pets Without Parents,Easton,62633,Animal Shelter,0,0,0,0,0,9,123,72,32,13,6,12,191,109,11,58,13,0,0,0,0,0,0,314,181,43,71
160,1608,Mason,2010,5567,Village of Manito,Manito,61546,Animal Control,0,0,0,0,0,0,25,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,20,5,0,1607,Mason,2012,Village of Manito,Manito,61546,Animal Control,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0
161,1618,Massac,2010,320,City of Metropolis,Metropolis,62960,Animal Control,0,0,0,0,0,0,270,190,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,270,190,40,40,1619,Massac,2012,Metropolis Animal Control,Metropolis,62960,Animal Control,0,0,0,0,0,14,303,245,15,29,14,0,0,0,0,0,0,0,0,0,0,0,0,303,245,15,29
162,1622,Massac,2010,9517,Project Hope Humane Society,Metropolis,62960,Animal Shelter,106,75,57,50,0,0,189,181,4,4,0,0,129,107,2,4,0,0,0,0,0,0,0,318,288,6,8,1621,Massac,2012,Project Hope Humane Society,Metropolis,62960,Animal Shelter,162,58,122,80,0,90,240,233,0,15,82,115,160,185,0,13,77,0,0,0,0,0,0,400,418,0,28
163,1625,Massac,2010,10102,Village of Joppa,Joppa,62953,Animal Control,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,1624,Massac,2012,Village of Joppa,Joppa,62953,Animal Control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,1636,McDonough,2010,266,McDonough County Animal Shelter,Macomb,61455, Animal Control,0,0,0,0,0,0,557,242,100,46,0,0,517,174,6,216,0,0,0,0,0,0,0,1074,416,106,262,1635,McDonough,2012,McDonough County Animal Shelter,Macomb,61455, Animal Control,373,0,190,0,0,206,400,244,129,12,206,409,364,181,9,102,416,0,0,0,0,0,0,764,425,138,114
165,1769,Mercer,2010,322,Mercer County Animal Control,Aledo,61231,Animal Control,0,0,0,0,0,0,98,20,42,12,0,0,54,21,1,28,0,0,0,2,1,0,1,152,43,44,40,1768,Mercer,2012,Mercer County Animal Control,Aledo,61231,Animal Control,0,0,0,0,0,6,130,19,38,11,6,12,52,36,2,7,12,0,0,0,0,0,0,182,55,40,18
166,1773,Monroe,2010,11527,Humane Society of Monroe County,Red Bud,62278,Animal Shelter,0,0,0,0,0,0,223,186,0,3,0,0,146,112,0,2,0,0,2,2,0,0,0,371,300,0,5,1772,Monroe,2012,Humane Society of Monroe County,Red Bud,62278,Animal Shelter,0,0,0,0,0,48,186,188,2,6,38,78,154,127,0,15,90,0,0,0,0,0,0,340,315,2,21
167,1776,Monroe,2010,6034,Monroe County Animal Pound,Waterloo,62298,Animal Control,0,0,0,0,0,0,196,99,65,32,0,0,220,40,9,171,0,0,6,6,0,0,0,422,145,74,203,1775,Monroe,2012,Monroe County Animal Pound,Waterloo,62298,0,0,0,0,0,0,0,186,89,82,15,0,0,103,55,8,40,0,0,0,0,0,0,0,289,144,90,55
168,1782,Montgomery,2010,13249,Montgomery Co Animal Control and Shelter,Hillsboro,62049,Animal Control,0,0,0,0,0,0,481,346,121,14,0,0,138,113,1,24,0,0,0,0,0,0,0,619,459,122,38,1784,Montgomery,2012,Montgomery Co Animal Control and Shelter,Hillsboro,62049,Animal Control,0,0,0,0,0,17,320,213,106,6,12,5,136,120,1,11,9,0,0,0,0,0,0,456,333,107,17
169,1787,Montgomery,2010,14054,Paws Care Inc.,Taylor Springs,62017,Animal Shelter,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1785,Montgomery,2012,Paws Care Inc.,Coffeen,62017,Animal Shelter,0,0,0,0,0,2,20,17,0,0,5,1,14,11,0,0,4,0,0,0,0,0,0,34,28,0,0
170,1796,Morgan,2010,325,Morgan County Animal Control,Jacksonville,62650,Animal Control,0,0,0,0,0,0,534,112,0,31,0,0,427,28,0,64,0,0,0,0,0,0,0,961,140,0,95,1795,Morgan,2012,Morgan County Animal Control,Jacksonville,62650,Animal Control,0,0,0,0,0,0,488,980,0,13,0,0,522,50,0,68,0,0,327,0,0,327,0,1337,1030,0,408
171,1804,Moultrie,2010,8900,Moultrie County Animal Control,Sullivan,61951,Animal Control,0,0,0,0,0,0,125,44,38,43,0,0,43,5,0,38,0,0,0,0,0,0,0,168,49,38,81,1803,Moultrie,2012,Moultrie County Animal Control,Sullivan,61951,Animal Control,0,0,0,0,0,5,139,52,50,36,6,0,41,7,0,34,0,0,0,0,0,0,0,180,59,50,70
