index,County,Year,ShelterID,BusName,City,Zip,License Type,DogSold,PupSold,CatSold,KitSold,ExoticSold,BegInvDog,DogRec,DogAdopt,DogReclaim,DogEuth,EndInvDogs,BegInvCat,CatRec,CatsAdopt,CatsReclaim,CatEuth,EndInvCats,BegInvOther,OtherRec,OtherAdopt,OtherReclaim,OtherEuth,EndInvOther,AllRec,AllAdopt,AllReclaim,AllEuth
507,Bond,2012,4351,Bond County/City of Greenville,Greenville,62246,Animal Control,0,0,0,0,0,0,148,9,46,93,0,40,0,2,38,0,0,0,0,0,0,0,0,148,11,84,93
508,Will,2012,4363,Frankfort TWP. Animal Control,Frankfort,60423,Animal Control,0,0,0,0,0,0,115,15,99,1,0,0,49,32,11,6,0,0,9,3,2,4,0,173,50,112,11
509,Woodford,2012,4437,City of Minonk,Minonk,61760,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
510,Saline,2012,4465,Saline County Animal Control,Harrisburg,62946,Animal Control,0,0,0,0,0,1,476,8,50,225,5,9,348,0,2,308,2,0,0,0,0,0,0,824,8,52,533
511,Franklin,2012,4486,Franklin County Animal Control,Benton,62812,Animal Control,98,0,9,0,0,0,990,98,94,589,0,0,566,9,4,450,0,0,0,0,0,0,0,1556,107,98,1039
512,Will,2012,4530,Bolingbrook Animal Control & Care,Bolingbrook,60440,Animal Control,0,0,0,0,0,5,347,75,214,20,3,3,162,137,14,45,17,0,0,0,0,0,0,509,212,228,65
513,Henderson,2012,4651,Henderson County Dog Pound,Oquawka,61469,Animal Control,0,0,0,0,0,0,96,50,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,50,40,0
514,Will,2012,4714,Joliet TWP Animal Control Center,Joliet,60436,Animal Control,0,0,0,0,0,39,1228,460,438,337,32,50,968,248,25,714,31,1,16,11,0,3,3,2212,719,463,1054
515,Macon,2012,4811,Macon County Animal Control & Care Ctr,Decatur,62526,Animal Control,0,0,0,0,0,94,1220,463,459,513,79,144,1092,517,22,556,141,0,224,35,0,183,6,2536,1015,481,1252
516,Kankakee,2012,4822,Kanakakee County Humane Society Inc.,Kankakee,60901,Animal Shelter,0,0,0,0,0,15,296,272,0,3,36,28,113,112,0,0,29,0,0,0,0,0,0,409,384,0,3
